prompt,language,content_type,tone,platform,keywords
"Write a social media post about the benefits of yoga for mental health",hindi,social_post,inspirational,instagram,"yoga,mental health,wellness"
"Create a blog introduction about artificial intelligence in healthcare",english,blog,professional,linkedin,"AI,healthcare,technology"
"Write a caption for a food photography post featuring traditional Indian cuisine",hindi,caption,casual,instagram,"food,indian cuisine,photography"
"Generate an email subject line for a product launch announcement",english,email,professional,email,"product launch,announcement"
"Create a script for a 30-second video about sustainable living",tamil,script,educational,youtube,"sustainability,environment,green living"
"Write an ad copy for a new mobile app targeting young professionals",english,ad_copy,friendly,facebook,"mobile app,productivity,professionals"
"Generate a tweet about the importance of digital literacy",hindi,social_post,educational,twitter,"digital literacy,education,technology"
"Create a blog post about traditional Indian festivals and their significance",hindi,blog,cultural,blog,"festivals,culture,traditions"
"Write a LinkedIn post about career growth tips for software developers",english,social_post,professional,linkedin,"career,software development,tips"
"Generate a caption for a travel photo from Rajasthan",hindi,caption,casual,instagram,"travel,rajasthan,photography"
